"","QxSM001.INOC","QxSM002.INOC","QxSM003.INOC","QxSM005.INOC","QxSM008.INOC","QxSM010.INOC","QxSM011.INOC","QxSM013.INOC","QxSM014.INOC","QxSM015.INOC","QxSM016.INOC","QxSM017.INOC","QxSM018.INOC","QxSM019.INOC","QxSM023.INOC","QxSM026.INOC","QxSM028.INOC","QxSM029.INOC","QxSM030.INOC","QxSM031.INOC","QxSM033.INOC","QxSM034.INOC","QxSM035.INOC","QxSM036.INOC","QxSM037.INOC","QxSM038.INOC","QxSM039.INOC","QxSM041.INOC","QxSM042.INOC","QxSM043.INOC","QxSM045.INOC","QxSM046.INOC","QxSM047.INOC","QxSM048.INOC","QxSM049.INOC","QxSM050.INOC","QxSM052.INOC","QxSM054.INOC","QxSM055.INOC","QxSM056.INOC","QxSM057.INOC","QxSM058.INOC","QxSM059.INOC","QxSM060.INOC","QxSM061.INOC","QxSM062.INOC","QxSM063.INOC","QxSM065.INOC","QxSM066.INOC","QxSM067.INOC","QxSM068.INOC","QxSM069.INOC","QxSM070.INOC","QxSM073.INOC","QxSM074.INOC","QxSM075.INOC","QxSM076.INOC","QxSM077.INOC","QxSM078.INOC","QxSM079.INOC","QxSM080.INOC","QxSM082.INOC","QxSM083.INOC","QxSM084.INOC","QxSM085.INOC","QxSM086.INOC","QxSM087.INOC","QxSM088.INOC","QxSM089.INOC","QxSM090.INOC","QxSM091.INOC","QxSM093.INOC","QxSM094.INOC","QxSM095.INOC","QxSM097.INOC"
"Contig11240_at",0.37,0.55,0.29,-0.119999999999999,0.38,-0.0500000000000007,0.0600000000000005,0.61,-0.15,0.14,0.77,0.36,0.28,-0.24,0.43,0.65,-0.33,0.14,0.14,0.13,0.25,0.96,0.55,0.29,0.38,-0.17,0.53,0.350000000000001,0.48,1.01,-0.16,0.26,0.92,0.52,0.33,0.640000000000001,0.28,0.399999999999999,0.2,-0.35,0.430000000000001,0.14,0.0899999999999999,0.38,0.23,0.84,0.619999999999999,0.949999999999999,0.26,0.0299999999999994,-0.25,0.34,0.39,0.42,-0.0599999999999996,0.0999999999999996,-0.0999999999999996,0.470000000000001,0.0600000000000005,0.28,0.28,0.3,0.39,0.350000000000001,0.46,-0.0499999999999998,1.1,0.24,0.51,-0.380000000000001,0.239999999999999,0.73,0.180000000000001,0.63,0.36
"Contig3886_at",0.49,0.69,0.83,0.530000000000001,0.210000000000001,0.789999999999999,0.6,0.619999999999999,-0.0499999999999989,0.360000000000001,1.24,1.05,0.300000000000001,0.640000000000001,0.370000000000001,0.329999999999998,0.359999999999999,0.529999999999999,0.469999999999999,0.58,0.319999999999999,0.65,0.140000000000001,0.199999999999999,0.15,0.379999999999999,0.960000000000001,1.46,0.74,1.04,0.15,0.459999999999999,0.67,0.709999999999999,0.56,0.630000000000001,0.83,0.289999999999999,1.27,0.5,0.67,0.390000000000001,0.440000000000001,0.300000000000001,1.04,0.76,0.870000000000001,0.359999999999999,0.42,0.369999999999999,0.350000000000001,0.0399999999999991,0.52,0.99,0.440000000000001,0.629999999999999,0.390000000000001,0.450000000000001,0.27,0.66,0.609999999999999,0.550000000000001,0.630000000000001,0.859999999999999,0.69,0.4,0.66,0.639999999999999,0.949999999999999,-0.710000000000001,0.449999999999999,0.550000000000001,0.5,0.76,0.270000000000001
"Contig20_at",1.29,0.94,1.14,0.78,1.01,0.6,0.68,0.46,0.890000000000001,0.459999999999999,1.52,0.720000000000001,1.16,0.800000000000001,0.639999999999999,1.15,1.76,0.27,0.56,0.58,0.42,1.34,1,0.6,1.37,0.949999999999999,1.75,0.620000000000001,0.63,0.879999999999999,1.28,0.31,0.609999999999999,1.02,1.02,1.94,1.07,0.949999999999999,0.399999999999999,0.75,0.58,0.69,0.59,0.75,0.26,1.43,1.61,0.789999999999999,0.69,0.969999999999999,1.03,0.96,0.849999999999999,0.960000000000001,0.48,0.45,0.569999999999999,0.85,0.109999999999999,0.789999999999999,0.0999999999999996,1.17,0.79,0.95,0.75,0.119999999999999,0.359999999999999,1.33,0.49,0.869999999999999,1.35,0.809999999999999,1.18,-0.0700000000000003,1.11
"Contig13799_at",0.709999999999999,0.74,0.84,0.74,0.26,0.709999999999999,0.610000000000001,0.94,0.0199999999999996,0.529999999999999,1.7,0.84,1.09,0.540000000000001,0.630000000000001,0.460000000000001,1.17,0.629999999999999,0.859999999999999,0.74,0.89,1.03,0.0399999999999991,0.51,0.58,0.720000000000001,1.64,1.92,0.84,1.15,0.35,0.42,0.119999999999999,0.48,0.44,0.770000000000001,0.960000000000001,0.440000000000001,1.2,0.229999999999999,0.64,0.389999999999999,0.5,0.800000000000001,1.63,-0.26,1.07,0.43,0.89,0.99,0.5,0.910000000000001,0.83,1.27,0.620000000000001,0.89,0.619999999999999,0.0600000000000005,-0.33,0.529999999999999,0.219999999999999,1.21,0.44,0.470000000000001,1.01,0.300000000000001,0.81,0.779999999999999,1.14,0.0399999999999991,0.880000000000001,0.59,1.24,0.41,0.309999999999999
"Contig5884_at",-0.0499999999999998,1.3,0.710000000000001,0.68,0.76,0.68,0.15,0.6,0.420000000000001,0.529999999999999,1.66,0.79,0.77,-0.19,1.09,0.55,1.35,0.51,0.58,0.73,-0.13,1.09,0.38,0.77,1.09,0.76,0.5,0.659999999999999,0.6,1.03,0.29,0.38,0.82,0.300000000000001,0.720000000000001,0.930000000000001,0.94,0.640000000000001,0.99,1.44,0.82,0.760000000000001,0.47,0.569999999999999,0.28,0.84,0.72,0.409999999999999,1.08,0.46,0.27,0.600000000000001,1.19,0.77,-0.220000000000001,0.55,0.0600000000000005,0.91,-0.26,0.82,0.52,0.46,0.14,0.0700000000000003,0.75,1.08,0.95,0.5,0.600000000000001,-0.61,0.91,0.38,0.52,-0.35,0.0199999999999996
"Contig23697_at",0.319999999999999,1.89,0.81,0.9,0.46,-0.0799999999999992,-0.0700000000000003,0.23,-0.29,0.11,1.51,-0.0600000000000005,1.27,1.17,0.609999999999999,-0.52,1.28,0.600000000000001,1.17,1.66,0.37,0.839999999999999,-0.930000000000001,0.55,0.75,-0.73,0.38,0.7,0.81,1.22,-0.52,0.54,0.57,0.95,0.19,0.82,0.460000000000001,0.56,0.76,-0.16,0.54,0.839999999999999,-0.0500000000000007,0.37,1.22,0.24,1.4,0.61,1.29,0.850000000000001,0.0899999999999999,0.56,0.46,0.84,-0.0500000000000007,0.7,-0.19,1.2,-0.04,0.27,0.52,0.98,0.88,0.16,1.08,-0.12,0.0499999999999998,0.449999999999999,0.67,-0.64,1.14,1.07,0.37,0.12,0.140000000000001
"Contig11129_at",0.17,0.530000000000001,0.559999999999999,0.75,0.19,0.289999999999999,0.460000000000001,0.48,-0.220000000000001,-0.319999999999999,0.949999999999999,0.549999999999999,-0.0800000000000001,0.33,0.0999999999999996,0.389999999999999,0.34,1.07,0.699999999999999,0.67,0.890000000000001,0.48,-0.0300000000000011,0.0999999999999996,0.41,0.56,1.38,0.860000000000001,-0.0899999999999999,0.74,-0.110000000000001,0.460000000000001,0.139999999999999,0.66,0.16,0.35,0.530000000000001,0.23,0.32,0.610000000000001,0.93,0.600000000000001,0.16,-0.0199999999999996,0.569999999999999,-0.15,0.25,-0.140000000000001,0.84,0.23,0.219999999999999,0.390000000000001,0.0199999999999996,0.699999999999999,1.1,0.210000000000001,0.680000000000001,0.27,-0.18,0.6,0.44,0.0999999999999996,0.199999999999999,0.360000000000001,0.550000000000001,0.6,0.600000000000001,-0.130000000000001,0.43,-0.110000000000001,0.41,0.6,0.15,0.23,-0.00999999999999979
"Contig5815_at",0.0500000000000007,-0.24,-0.34,-0.300000000000001,0.15,-0.639999999999999,0.0499999999999989,-0.23,-0.34,0.0299999999999994,-0.760000000000002,-0.0700000000000003,-0.32,-0.359999999999999,-0.15,-0.27,0.0999999999999996,-0.32,-0.0699999999999985,-0.0600000000000005,-0.129999999999999,-0.0200000000000014,-0.0600000000000005,-0.52,0.0500000000000007,-0.41,-0.340000000000002,-0.49,-0.43,-0.27,-0.24,-0.109999999999999,-0.0899999999999999,-0.43,-0.279999999999999,-0.540000000000001,-0.51,-0.290000000000001,-0.57,0.0800000000000001,-0.31,-0.58,-0.380000000000001,-0.0600000000000005,-0.449999999999999,0.0199999999999996,-0.25,-0.41,-0.15,-0.200000000000001,-0.5,-0.48,-0.370000000000001,-0.57,0.18,-0.539999999999999,-0.109999999999999,-0.550000000000001,-0.140000000000001,-0.43,0.289999999999999,-0.280000000000001,-0.449999999999999,0.19,-0.33,-0.0499999999999989,-0.140000000000001,-0.15,-0.640000000000001,-0.0499999999999989,-0.399999999999999,0.25,-0.530000000000001,-0.84,-0.129999999999999
"Contig21643_at",0.31,0.450000000000001,1.22,0.4,0.540000000000001,0.149999999999999,0.77,0.32,0.0999999999999988,0.370000000000001,1.73,0.66,0.380000000000001,0.559999999999999,0.7,0.630000000000001,0.99,0.46,0.7,0.140000000000001,-0.0800000000000001,1.19,0.420000000000001,0.459999999999999,0.699999999999999,0.0500000000000007,1.24,0.76,0.699999999999999,0.370000000000001,0.180000000000001,0.139999999999999,0.43,0.389999999999999,0.43,1.16,0.91,0.26,0.15,0.470000000000001,0.52,0.760000000000001,0.35,0.31,0.74,0.709999999999999,0.809999999999999,0.57,0.49,0.960000000000001,0.77,0.38,0.889999999999999,1.01,-0.0399999999999991,0.51,0.44,0.95,0.26,0.449999999999999,1.01,0.800000000000001,0.66,0.65,0.609999999999999,0.140000000000001,0.26,0.719999999999999,1.01,0.550000000000001,0.819999999999999,0.84,0.49,0.5,0.510000000000002
"Contig8722_at",0.0499999999999998,0.14,1.32,0.0499999999999998,0.3,0.04,0.48,0.86,0.130000000000001,0.12,2.06,1.43,0.430000000000001,0.55,0.69,0.85,-0.63,0.78,0.76,0.22,0.29,1.73,-0.18,0.430000000000001,0.37,0.109999999999999,1.68,1.43,0.98,1.19,-0.16,0.51,0.550000000000001,1.45,0.57,1.03,1.28,-0.0199999999999996,0.77,0.73,1.02,0.86,0.33,-0.21,1.17,0.77,0.77,0.36,0.77,1.47,-0.13,-0.0200000000000005,0.19,1.41,1,0.38,0.87,0.72,0.23,0.16,0.44,0.930000000000001,0.739999999999999,0.58,1.27,0.22,0.94,0.33,1.62,0.8,0.79,0.74,0.32,1.05,-0.22
"Contig1315_s_at",-0.369999999999999,0.110000000000001,-0.42,-1.27,-0.889999999999999,-1.11,-0.4,-0.619999999999999,-0.68,-1.03,-1.12,-0.41,-0.83,-0.27,-0.390000000000001,-1.08,-0.630000000000001,-0.129999999999999,-0.25,-0.279999999999999,-0.0999999999999996,-0.67,-0.369999999999999,-0.130000000000001,-1.03,-0.629999999999999,-0.6,-0.25,-0.390000000000001,-0.67,-0.620000000000001,-0.710000000000001,-0.710000000000001,-0.0899999999999999,-0.539999999999999,-1.22,-0.82,-0.629999999999999,-0.720000000000001,-0.780000000000001,0.0899999999999999,-1.09,-0.470000000000001,-0.369999999999999,-0.800000000000001,-0.48,-0.92,-0.709999999999999,-1.05,-0.470000000000001,-0.26,-0.59,-0.779999999999999,-0.58,-0.629999999999999,-0.360000000000001,-0.450000000000001,-0.27,-0.989999999999998,-0.5,0.0199999999999996,-0.25,-0.85,-0.44,-0.199999999999999,-0.17,-1.22,-0.510000000000002,-0.229999999999999,-0.73,-0.25,-0.619999999999999,-0.380000000000001,-0.35,-0.700000000000001
"Contig20719_at",0.389999999999999,0.39,0.690000000000001,0.19,0.0799999999999992,0.239999999999999,0.0800000000000001,0.53,-0.3,0.33,0.83,0.499999999999999,0.46,0.69,0.04,0.210000000000001,1.04,0.77,0.81,0.54,0.23,1.17,0.11,0.359999999999999,0.41,0.3,1.37,0.82,0.3,0.62,0.26,-0.2,0.26,0.58,0.819999999999999,0.0800000000000001,0.760000000000001,0.0199999999999996,0.47,0.55,0.56,0.29,0.7,0.00999999999999979,0.850000000000001,0.209999999999999,0.62,0.78,0.659999999999999,1.19,0.119999999999999,0.77,0.15,0.409999999999999,0.75,0.57,0.24,0.69,-0.699999999999999,0.57,0.3,0.449999999999999,0.33,0.680000000000001,0.779999999999999,0.26,0.399999999999999,0.279999999999999,0.33,0.23,0.619999999999999,0.79,-0.11,-0.930000000000001,0.42
