"","QxSM001.INOC","QxSM002.INOC","QxSM003.INOC","QxSM005.INOC","QxSM008.INOC","QxSM010.INOC","QxSM011.INOC","QxSM013.INOC","QxSM014.INOC","QxSM015.INOC","QxSM016.INOC","QxSM017.INOC","QxSM018.INOC","QxSM019.INOC","QxSM023.INOC","QxSM026.INOC","QxSM028.INOC","QxSM029.INOC","QxSM030.INOC","QxSM031.INOC","QxSM033.INOC","QxSM034.INOC","QxSM035.INOC","QxSM036.INOC","QxSM037.INOC","QxSM038.INOC","QxSM039.INOC","QxSM041.INOC","QxSM042.INOC","QxSM043.INOC","QxSM045.INOC","QxSM046.INOC","QxSM047.INOC","QxSM048.INOC","QxSM049.INOC","QxSM050.INOC","QxSM052.INOC","QxSM054.INOC","QxSM055.INOC","QxSM056.INOC","QxSM057.INOC","QxSM058.INOC","QxSM059.INOC","QxSM060.INOC","QxSM061.INOC","QxSM062.INOC","QxSM063.INOC","QxSM065.INOC","QxSM066.INOC","QxSM067.INOC","QxSM068.INOC","QxSM069.INOC","QxSM070.INOC","QxSM073.INOC","QxSM074.INOC","QxSM075.INOC","QxSM076.INOC","QxSM077.INOC","QxSM078.INOC","QxSM079.INOC","QxSM080.INOC","QxSM082.INOC","QxSM083.INOC","QxSM084.INOC","QxSM085.INOC","QxSM086.INOC","QxSM087.INOC","QxSM088.INOC","QxSM089.INOC","QxSM090.INOC","QxSM091.INOC","QxSM093.INOC","QxSM094.INOC","QxSM095.INOC","QxSM097.INOC"
"Contig6701_s_at",2.94,1.83,3.42,-0.37,-0.63,1.12,0.87,1.22,0.72,1.64,2.29,0.82,1.35,0.26,0.76,-0.18,-0.17,0.43,2.56,2.41,0.609999999999999,0.899999999999999,2.15,2.2,0.119999999999999,0.13,-0.0699999999999998,4.18,3.02,2.46,0.45,0.77,-0.0199999999999996,2.14,0.720000000000001,1.62,1.71,0.850000000000001,3.05,-0.0700000000000003,2.91,0.319999999999999,0.86,0.5,1.78,1.48,0.94,1.31,0.17,0.86,3.12,1.73,0.96,3.23,-0.18,2.71,1.14,2.08,-0.00999999999999979,3.07,0.32,1.38,-0.0499999999999998,0.159999999999999,2.39,0.199999999999999,1.58,0.63,2.61,0.65,2.48,0.18,2.71,2.14,0.25
"Contig3151_at",3.69,3.09,2.94,0.81,0.569999999999999,2.73,2.62,2.66,1.76,2.18,2.9,2.27,2.49,3.32,0.65,-0.11,2.31,2.02,2.91,2.63,3.6,1.63,2.36,1.37,0.73,0.630000000000001,2.57,3.93,3.02,1.51,2.47,1.11,0.81,2.48,2.13,2.5,2.42,2.05,3.51,0.130000000000001,0.4,1.29,2.09,2.94,4.45,0.96,3.3,3.07,2.01,2.54,2.34,3.95,3.13,3.34,1.37,3.55,2.57,2.23,1.57,4.03,2.56,3.61,1.44,1.96,3.29,1.78,2.67,4.09,2.31,1.83,2.77,1.94,3.81,0.0700000000000003,2.09
"Contig5469_at",2.12,3.1,2.87,1.61,-0.399999999999999,2.78,1.77,1.73,-0.720000000000001,2.17,2.76,0.74,1.7,0.97,1.05,-0.0300000000000002,0.78,1.06,2.61,1.36,0.510000000000001,1.34,1.04,1.59,-0.39,0.91,1.41,4.02,2.87,2.57,0.470000000000001,1.36,0.17,2.62,1.13,0.930000000000001,2.33,2.22,4.15,1.31,2.25,0.35,1.85,0.73,3.31,2.29,2.28,1.87,0.84,1.25,2.1,2,2.26,3.28,0.329999999999999,2.34,0.97,1.84,0.52,2.87,0.66,1.56,0.54,1.16,1.79,0.55,1.18,1.97,3.52,-0.350000000000001,2.47,0.04,2.67,0.51,1.5
"Contig3157_at",2.34,1.24,1.9,0.58,0.869999999999999,1.49,1.65,1.88,1.2,1.1,1.68,1.54,1.49,1.71,0.390000000000001,-0.58,2.49,0.97,2.49,1.39,1.13,1.47,1.82,1.28,0.23,0.219999999999999,0.0399999999999991,2.29,1.2,0.73,1.92,1.12,0.29,2.12,0.81,1.29,2.19,1.55,2.88,-0.0100000000000007,0.37,1.56,1.6,1.16,2.27,0.76,2.83,2.13,1.21,1.88,1.85,2.67,1.76,1.37,0.88,2.44,2.05,0.44,3.28,1.88,2.41,2.52,0.639999999999999,0.87,2.14,1.71,1.96,2.63,1.89,0.95,1.8,0.52,2.22,0.33,1.33
"Contig5468_at",1.25,1.45,1.03,0.76,0.38,0.63,1.32,0.68,0.87,1,1.36,0.00999999999999979,0.79,0.58,0.45,-0.149999999999999,1.34,0.22,1.46,0.99,0.67,0.430000000000001,0.63,0.970000000000001,-0.4,0.65,0.75,2.47,1.29,0.56,0.93,1.11,0.0699999999999994,1.45,0.68,1.3,2.13,1.01,2.24,-0.0699999999999994,0.5,0.56,1.1,0.87,1.88,1.09,1.69,1.06,0.23,0.53,1.13,1.75,1.36,1.17,0.7,1.38,1.13,0.79,0.0499999999999998,1.5,0.430000000000001,0.9,0.31,0.19,1.29,0.72,0.46,2.02,1.76,0.609999999999999,0.88,0.18,1.6,-0.37,0.56
"Contig11361_at",1.66,1.12,1.9,-0.109999999999999,-0.29,0.46,0.21,0.69,0.5,1.1,0.86,0,0.27,1.31,0.48,-0.5,0.44,0.399999999999999,1.44,0.69,0.22,0.340000000000001,0.59,1.16,-0.0499999999999998,-0.15,-0.0699999999999994,1.41,1.59,0.92,0.569999999999999,0.140000000000001,0.26,1.87,0.21,0.00999999999999979,0.69,0.82,3.15,-0.53,0.98,1.17,1.09,0.0500000000000007,1.6,1.35,1.12,0.81,0.58,0.25,0.75,1.05,1.05,1.29,0.42,1.77,0.75,1.11,0.399999999999999,2.07,0.369999999999999,1.15,0.19,0.829999999999999,0.720000000000001,0.27,0.53,0.71,1.96,0.63,1.4,0.24,0.85,0.75,0.149999999999999
"Contig19929_at",2.7,1.77,1.33,0.94,-0.5,0.45,1.36,1.28,0.71,0.859999999999999,0.47,0.17,0.84,1.51,-0.62,-1.82,0.56,0.75,1.73,2.2,1.8,0.35,1.05,0.739999999999999,-0.12,-0.48,0.59,1.77,1.6,0.97,1.05,0.77,0.260000000000001,2.45,0.51,-0.91,0.77,1.27,2.68,-1.48,0.48,0.54,1.5,0.630000000000001,2.29,1.08,2.39,1.34,0.23,0.91,1.53,1.93,1.27,0.93,0.67,2.09,0.96,1.59,1.31,1.66,1.44,1.82,0.45,1.04,1.05,0.57,0.88,1.63,1.85,-0.550000000000001,1.34,1.12,1.6,0.42,0.53
"Contig3155_s_at",3.71,1.9,2.97,2.01,0.25,0.94,1.18,1.11,1.21,0.55,1.23,0.850000000000001,1.76,1.5,0.24,-0.96,2.25,1.19,2.66,2.11,1.97,0.29,1.94,1.11,-0.16,-0.539999999999999,-0.380000000000001,1.79,2.67,0.680000000000001,2.38,0.5,0.48,2.42,0.54,-0.0600000000000005,0.54,1.61,3.51,-0.0299999999999994,0.180000000000001,0.77,1.66,1.01,2.68,2.35,2.97,1.78,0.93,0.98,2.19,2.44,2.18,2.28,0.98,3.07,1.25,1.62,3.44,1.99,2.24,2.5,1.01,1.66,1.4,1,0.649999999999999,3.5,1.94,0.79,2.08,0.9,2.45,0.88,1.76
"Contig3156_s_at",3.87,2.49,2.26,0.98,-0.26,3.15,1.87,1.28,1.18,0.59,0.68,0.949999999999999,1.72,2.45,0.279999999999999,-0.68,3.88,1.78,2.37,3.01,2.27,-0.15,3.47,2.03,-0.26,-0.120000000000001,-1.04,1.3,2.85,1.03,2.44,0.0400000000000009,-0.17,1.47,1.16,0.699999999999999,1.05,2.5,2.27,-0.56,-0.0300000000000011,1.49,1.05,1.13,2.64,1.45,2.78,2.4,0.25,1.19,1.85,3.15,1.51,3.41,-0.38,3.77,1.78,1.62,2.85,2.77,1.72,2.66,1.22,1.46,2.14,1.58,0.930000000000001,2.89,0.56,0.96,2,1.26,2.95,0.399999999999999,1.15
"Contig8307_s_at",1.61,1.09,0.100000000000001,1.11,0.3,-0.71,1.17,2.03,1.37,1.3,0.3,0.25,0.35,1.06,-0.5,-0.51,0.399999999999999,0,2.37,1.24,0.72,0.23,2.65,1.02,-0.39,-0.850000000000001,1.23,2.27,2.62,-0.149999999999999,0.49,0.41,-0.0700000000000003,1.1,-0.13,-1.11,0.58,0.0800000000000001,2.41,-0.72,1.93,-0.41,0.42,0.5,1.24,1.12,1.93,1.2,0.23,0.0499999999999998,0.82,1.98,0.61,0.0500000000000007,0.91,1.6,1.3,0.7,1.08,1.28,0.47,1.56,0.210000000000001,0.16,1.01,0.33,1.44,2.39,2.52,-0.58,0.52,0.23,1.8,0.18,0.38
"Contig6699_s_at",2.04,0.86,1.8,-0.199999999999999,-1.1,0.109999999999999,0.0300000000000002,0.63,0.23,0.5,0.83,0.26,0.36,0.17,0,0.170000000000001,-0.15,0.18,1.49,0.54,0.13,0.35,1.06,1.35,-0.12,-0.3,-0.14,1.31,1.65,1.36,0.44,0.0700000000000003,-0.220000000000001,1.22,0.11,0.7,0.14,0.31,1.79,0.0199999999999996,1.55,0,0.31,0.210000000000001,0.38,1.18,0.11,0.48,-0.350000000000001,0.4,1.45,0.43,0.46,1.28,-0.58,0.85,0.46,0.99,0.0599999999999996,0.76,0.21,0.57,0.31,0.56,0.72,-0.260000000000001,0.36,0.3,1.51,0.39,2,0.16,0.98,1.31,-0.18
