""	"SM001"	"SM002"	"SM003"	"SM004"	"SM005"	"SM006"	"SM007"	"SM009"	"SM010"	"SM011"	"SM014"	"SM015"	"SM016"	"SM020"	"SM021"	"SM022"	"SM023"	"SM024"	"SM025"	"SM027"	"SM030"	"SM031"	"SM032"	"SM039"	"SM040"	"SM041"	"SM042"	"SM043"	"SM044"	"SM045"	"SM046"	"SM050"	"SM054"	"SM055"	"SM056"	"SM057"	"SM058"	"SM059"	"SM061"	"SM062"	"SM063"	"SM064"	"SM065"	"SM067"	"SM069"	"SM070"	"SM071"	"SM072"	"SM073"	"SM074"	"SM075"	"SM076"	"SM077"	"SM078"	"SM080"	"SM081"	"SM082"	"SM083"	"SM084"	"SM085"	"SM087"	"SM088"	"SM089"	"SM091"	"SM092"	"SM093"	"SM094"	"SM097"	"SM098"	"SM099"	"SM103"	"SM105"	"SM110"	"SM112"	"SM116"	"SM124"	"SM125"	"SM126"	"SM127"	"SM129"	"SM130"	"SM131"	"SM132"	"SM133"	"SM134"	"SM135"	"SM136"	"SM137"	"SM139"	"SM140"	"SM141"	"SM142"	"SM143"	"SM144"	"SM145"	"SM146"	"SM147"	"SM150"	"SM151"	"SM152"	"SM153"	"SM154"	"SM155"	"SM156"	"SM157"	"SM158"	"SM159"	"SM160"	"SM162"	"SM164"	"SM165"	"SM166"	"SM167"	"SM168"	"SM169"	"SM170"	"SM173"	"SM174"	"SM176"	"SM177"	"SM179"	"SM180"	"SM181"	"SM182"	"SM183"	"SM184"	"SM185"	"SM186"	"SM187"	"SM188"	"SM189"	"SM193"	"SM194"	"SM196"	"SM197"	"SM198"	"SM199"	"SM200"
"AF509747.1_at"	78.6	81	84.9	70.8	35.9	40.3	21.2	24.7	63.9	48.2	30.8	47.5	32.9	19.9	81.2	35.4	35.4	32.3	22.7	29	49.3	28.5	40.8	30.6	15.8	27.8	28.3	43.8	29.1	41.4	10.1	88.4	52.4	55.3	62.5	81.6	60.3	6	52.8	40.4	19.4	48.8	97.2	67.4	47.4	57.9	53	43	40	41.9	53.7	37.8	39.3	51.6	37.8	46.3	50.7	43.2	74.1	48.8	45.9	39	21	45	52.9	28.9	48.7	32.6	43.1	15.6	50.9	76.5	26.6	35.7	60.1	28.4	27.1	2.8	28.4	15.6	52	52.2	23.2	43.9	49.9	63.9	38.8	53	26.2	22.9	26.6	23.8	65.5	20.2	32.6	24.4	31.2	82.5	40.5	50	25.5	25.8	38.5	53.5	27.5	31.1	20.6	45	28.5	45.4	16.9	53.9	42.2	31.1	29.6	46.6	50	46.2	38.5	55.4	43.3	54.1	43.5	41.8	57.9	12	28.7	56.9	41.3	40.6	58.3	13.5	36.8	74.5	88.2	44.9	32.7	40.7
"baak34e14_at"	104.6	262.8	181.5	189.5	141.7	160.3	118.2	180.8	227.6	224.6	135.6	130.9	254.9	102.1	131.4	75.3	150.5	157.7	183.8	130.5	175.1	123.8	93.3	139.4	124.6	86.6	138.1	115.7	108.1	108.3	51.7	106.8	183.4	76.2	189.7	134.9	254.9	84.4	159.6	127.7	111.9	131	229.9	199.4	144.9	124.4	216.3	162.8	148	134.4	98.9	145.7	138	237.1	72.4	96.9	210.4	114.2	201.7	141.2	229.9	238.4	84.5	210.7	233.9	138.6	182.4	182.4	145.1	146	249.1	195.6	153	127	188	102.6	144.2	174	143.1	89.2	226.7	169.5	61.1	147.3	153.2	110.6	86.2	253.7	130.9	134.2	86.3	153.9	151.8	107.8	122.8	175.6	126.8	220.7	113.8	95.8	119.7	94.4	112.1	142.9	145.2	216.5	102.7	128.7	104.5	138.7	79.9	179.8	183	115.3	86.5	178.2	176.1	172.2	107.8	176	123.4	155.8	185.3	124.7	133.3	121.3	153.8	219.9	85.7	124.5	159.7	107.8	188.1	253.9	207.6	209.3	211.9	151.7
"Contig10150_at"	20.1	116.1	63.2	104.4	39.1	20.6	9.8	7.1	90.2	89.3	19	11.2	96.6	24	47.8	32.4	61.9	3.1	81.3	7.4	115	16.6	33.4	19.2	3.1	15.1	74.6	34.9	16	13.3	5	141.7	164.1	6.4	49.4	9.9	81.3	3.9	101.7	26.4	4.9	56.2	67.6	97.7	29.2	57	83	5	3.9	26.1	3	98.4	6.9	8.8	4	45.7	130.4	30.9	97.6	18.5	91.6	69.2	43.7	99.7	79.9	11	50.5	9.4	74.5	80.1	76.1	74.5	44.8	11.1	66.9	11.1	43.3	4.3	5.3	5.2	111.2	74.5	3.9	5	68.9	13.1	2.7	87.5	8.5	7.4	4.5	3.3	87.1	3.1	10.8	70.1	24.2	70.6	53.2	30.7	3	6.1	69.3	126.3	33.8	62.7	18.1	59.3	5.3	78.8	93.7	39.4	37.3	17.1	3.3	89.3	55.2	90.7	23.7	58.4	2.6	100.4	93	57.6	73.5	4	83	82	44.1	2.9	99.4	41.3	70.5	133.9	126.7	48.1	92.4	78.5
"Contig10151_s_at"	119.8	291.4	218.6	244.5	204.3	184.9	125.5	184.3	169.6	200.1	101.9	146.1	244	142.4	174.3	106.1	135.2	94.1	209.9	89.1	202.4	111.3	116.8	135	70.1	79.7	126.5	101	113.9	133.3	103.2	162	253.5	78.4	148	133.7	254.4	85.3	265	93.9	178.2	118.1	254	212.4	200.6	107.6	181.1	104.2	170.5	174.5	120.4	206	88.4	123.8	75	146.6	305.7	135.9	289.2	132.8	179.3	290.4	94	261.6	218.7	136	212.8	181.4	139.9	152.3	136.7	251.7	181.4	127.4	170.4	102.3	168.5	103.6	119.7	86.3	299.7	131.1	57	172.6	154.2	131.1	78.7	165.1	106.1	95.7	70.2	129.9	171.2	84.7	102.9	119.9	94.2	226.1	135.7	100	121.6	117.8	192.3	237.9	129	210.8	110.4	164.9	83.5	170.3	135.6	117.7	142.2	128.5	72.3	284	147.4	331.1	89.4	177.7	102.2	242.7	271.6	129.2	177.2	145	184.7	212.6	161.5	177.3	181.5	146	196.4	254.6	276.7	159.5	218.3	150.5
"Contig10452_at"	1767.9	3151.2	3048.8	2915.2	913.8	1532.2	485.4	479.5	2606.1	1758.3	191.1	450.5	1111.4	198.6	1257.1	236.6	1388.2	251.5	1821	300.1	2112.5	447.4	433.5	234.7	119.3	245.8	1222.7	245.9	346	242	222.6	2096.1	2425.3	1268.4	1289.6	1654.8	2607.4	264.5	1969.8	293.8	232.3	1349.5	2547.9	1978.8	268.5	800.8	1476.4	438.1	230.9	223.1	121.6	1312	387.3	1086.6	175.5	703.8	1124.8	235.4	1812.5	1636.3	1191.8	538.9	642.8	1511.1	1843.8	852.4	1801.7	191.1	168.7	215.7	914	1136.1	159.1	949.7	2030.6	287.6	2010.1	344.5	286.5	173.6	1248	1098.1	126.7	238.9	974.7	1465.9	172.5	1332.4	195.1	150.6	275.2	281.6	1916.3	417.2	260.4	725.4	138.9	1319.1	1245.2	1097.5	254.5	318.7	1290.7	2094.5	950.4	545.8	196.2	1271.5	159.9	193.2	869.1	757.6	1578.8	162.9	132.6	1534.3	1556.5	673.1	146.4	835.5	642.8	1276.5	579.5	1116	1506.4	221.6	269	1440.3	371.5	284.6	1031.4	253.6	194	2050.7	1333.8	255	1592.1	1540.7
"Contig11995_at"	4.4	44.1	39	40	17.9	24.4	11.8	2.9	44	37.3	14.7	0.5	25.2	4.2	35.9	6.3	32.6	5.4	15.3	3.4	0.2	3.8	7.4	0.5	0.5	3.5	24.9	5.4	10.8	0.7	3	93.4	42.9	3	10.4	7.5	47.7	0.5	37.8	12.7	11.1	28.2	28.6	66.3	7.9	27.7	23.2	3.7	0.5	2.6	1.6	34.1	0.4	34.4	0.2	18.3	60.5	3	55.6	14.3	35.8	27.2	9.6	39.6	30.6	23	30.7	7.6	24.3	32.2	18.2	41.9	1.6	23.4	14.1	6.3	20.9	1	1.6	5.7	38.8	30.2	0.7	6.6	21.1	8.4	0.8	40.8	0.5	8.8	0.2	5.5	24.9	4.6	11.1	13.9	7.3	28.6	17.5	1.7	9	9.4	20	24.7	27.6	7.7	2.3	20.8	5.5	12.6	19.4	20.6	30.7	3.8	3.2	22.7	20	32.3	5.1	29.2	0.4	59.7	51.1	34.8	38.1	1.9	24.6	21.2	14.2	12.6	21.9	4.6	40.7	16.5	27	8.8	32.3	21.9
"Contig11996_s_at"	95.8	245.7	224.4	275.5	99.1	153.6	116.2	81.2	266.3	266.9	79.3	157.5	190	32.1	151	56.4	123.4	91.6	191.4	109.6	118.7	91.4	110.1	91.6	90	53.7	99	124.5	114.3	111.3	23.3	243	240.6	67.4	116.7	125.7	283.6	54.1	251.5	91	91	145.6	219.9	256.7	114	143.4	238.2	147.9	94.7	112.9	84.1	107.5	94.5	160	83.8	107.9	196.6	107.3	310.7	182.7	210	144.9	108.7	266	221.1	126.6	229	85.6	171.6	197.8	208.9	278.6	87.8	122.3	148	66.3	200.5	148.4	101.5	73	258.1	165	26.5	115.9	123.8	87.2	64.3	178.5	116	103.5	93.2	124.8	139.7	95.5	127.9	98.8	40.6	186	173.8	48.3	86.3	73.2	119.2	203.5	145.4	150.7	93.3	120.7	73.5	176.8	108.8	140.3	191.3	93.7	50.7	186.8	167.7	134.1	61.9	139.9	121.7	202.1	186.6	156.2	213.8	99.5	213.6	192.3	104.5	98.1	162.8	88.8	226	228.6	296.5	131.7	167	229
"Contig15882_s_at"	218.2	232.6	194.1	182.5	119.9	193.8	46.4	37.2	345.2	218	19.5	32.4	184.7	30.7	323	40.6	119.3	24.3	249	30.2	140.2	30.5	17.8	24.5	6.7	8.2	97.5	28.7	32.2	5.5	15.7	228.8	164.5	98.3	88.3	173.4	186.9	28.2	190.6	30.2	21.2	151.8	109.3	223.2	40.1	162.6	212.8	32	33.4	45.7	8.3	129.3	32.2	213.7	18.9	121	115.3	40.8	155.9	186.7	277.3	121.6	88.5	154.8	267.8	146.9	166.3	28.6	255.1	21.2	157.3	203	27.6	147.2	105.1	14.4	206.8	41.3	20.9	14.8	154.6	166.5	8.1	28.2	97.8	22.5	12	146.1	16.5	7.5	17.6	33.9	96.8	24.7	29.3	82.2	26.1	171.6	170.2	90.3	22.5	13.6	148	193.3	115.5	31.3	35.3	115.1	25.7	29.6	51.3	105.3	113.6	14.5	30.9	146.4	74.3	94.5	22.1	116.5	24	351.8	113.6	90.1	136.5	28.2	104.6	235	31.7	34.3	140	34.8	175.4	169.8	206	30.3	168.8	180.4
"Contig16442_at"	230	227.7	205.7	417.4	163.5	208.9	153.3	126.6	162.7	231.5	112.1	123.2	273.8	98.8	202.4	60.3	126.7	127.2	275.9	83.8	154.5	100.4	110.5	67.6	66.3	83.8	183.5	145.1	106	69.5	38.1	160.6	208.8	94.2	152.7	74.5	283.9	70.6	274.2	92.8	88.7	204.1	233.7	169.3	111.1	175.7	198.9	112.2	113.8	152.3	101.5	91	99.3	196.2	69.2	175.2	305.8	90	221.9	169.6	183.9	282.3	161.6	140.9	380.7	147	167.5	108.6	334.4	106.8	273.6	139.4	104.8	221	197.4	101.2	198.4	138.5	117.4	71.2	169.7	128.2	61.9	118.1	218.1	77.7	79.6	221.1	109.2	127.9	79.6	134.4	127.8	105.3	133.1	234.8	100.2	281.6	145.7	143.1	78.2	78.3	164.2	158.2	138.8	182.6	107.3	129	80	141	104.5	260.1	181.7	109	103.5	229.3	167.8	157.9	86.4	119.4	123.4	252.5	113.3	121.4	200.5	80.8	242.7	224.4	68.9	149.2	119.8	76.9	191.7	331.8	327.4	155.5	198.6	211.1
"Contig24097_at"	31.1	61.2	45.4	33.9	8.7	45.4	15.6	12.6	58.4	45.8	5.5	34.1	7.1	11	14.9	5.2	32.3	7.3	58.7	6.6	58.9	6.1	31.8	11.4	4.7	5	10.2	6.9	6.2	6.9	4.4	49.9	62.9	5.7	5.9	31.8	69.2	4.7	50.8	4.1	9.4	46	38.1	60.6	7	37.9	41.5	2.5	8.1	7.7	8.4	50.6	4.4	8.5	16.5	23.5	21.2	6.1	25.9	31.5	44.4	21.8	23.9	41.8	35.4	31	53.4	6.9	16.7	5.1	22.9	17.3	5.5	10.8	54.2	4.3	16.1	6.4	4.9	3.7	37.6	46.8	14.7	9	4.1	32.6	6.5	11.9	6.5	7.4	7.8	7.8	53.5	8	6.8	5.9	6.4	8	15.8	22.7	4.4	8.3	10.8	49.9	6.3	9	5.9	16	4.3	10.6	17	33.4	30.5	4.5	4.4	49.2	23.3	10.4	5.7	10	3.3	10.3	8.3	43.2	38.8	5.9	7.2	41.9	15.6	4.8	5	21.3	4.2	68	14.2	9.3	41.5	34.5
