""	"SM001"	"SM002"	"SM003"	"SM004"	"SM005"	"SM006"	"SM007"	"SM009"	"SM010"	"SM011"	"SM014"	"SM015"	"SM016"	"SM020"	"SM021"	"SM022"	"SM023"	"SM024"	"SM025"	"SM027"	"SM030"	"SM031"	"SM032"	"SM039"	"SM040"	"SM041"	"SM042"	"SM043"	"SM044"	"SM045"	"SM046"	"SM050"	"SM054"	"SM055"	"SM056"	"SM057"	"SM058"	"SM059"	"SM061"	"SM062"	"SM063"	"SM064"	"SM065"	"SM067"	"SM069"	"SM070"	"SM071"	"SM072"	"SM073"	"SM074"	"SM075"	"SM076"	"SM077"	"SM078"	"SM080"	"SM081"	"SM082"	"SM083"	"SM084"	"SM085"	"SM087"	"SM088"	"SM089"	"SM091"	"SM092"	"SM093"	"SM094"	"SM097"	"SM098"	"SM099"	"SM103"	"SM105"	"SM110"	"SM112"	"SM116"	"SM124"	"SM125"	"SM126"	"SM127"	"SM129"	"SM130"	"SM131"	"SM132"	"SM133"	"SM134"	"SM135"	"SM136"	"SM137"	"SM139"	"SM140"	"SM141"	"SM142"	"SM143"	"SM144"	"SM145"	"SM146"	"SM147"	"SM150"	"SM151"	"SM152"	"SM153"	"SM154"	"SM155"	"SM156"	"SM157"	"SM158"	"SM159"	"SM160"	"SM162"	"SM164"	"SM165"	"SM166"	"SM167"	"SM168"	"SM169"	"SM170"	"SM173"	"SM174"	"SM176"	"SM177"	"SM179"	"SM180"	"SM181"	"SM182"	"SM183"	"SM184"	"SM185"	"SM186"	"SM187"	"SM188"	"SM189"	"SM193"	"SM194"	"SM196"	"SM197"	"SM198"	"SM199"	"SM200"
"Contig102_at"	79.5	127.6	73.5	101.6	91.1	54.7	105.3	150.6	78.9	80.7	101.1	98.9	80.6	95.1	64.8	65.1	39.3	106.4	69.4	72.7	99.2	74.5	84.2	106.5	83.1	76.3	56	104.5	100.6	97.1	53.6	72.5	65.9	80.3	47.1	116	83.8	43.9	85.4	77.1	84.6	50.2	77.7	68	144.1	77.5	91.6	91.2	100.5	157.9	97	61	80.4	65.5	92.2	42.8	70.5	126.7	83.8	53.3	74	87.2	66.2	117	78.7	55.6	72.8	112.1	67.4	64.8	80.6	133.3	114.2	57	61.9	84	57.6	122.1	81.1	100.4	105.2	44.3	39.4	86.2	82.2	76.5	65.8	103.5	81.6	76	75.7	123.5	44.4	85.8	127.5	75.3	78.4	70	68.2	81.3	82.7	68.6	60.7	76.1	52.9	168.9	105.8	50.8	62.8	70.8	65.8	57.4	65.4	99.4	77.4	78.4	55	81.2	81.6	75.1	85.6	87.7	72.2	43.2	80.9	73.9	89.6	73.5	70.2	95.8	69.6	86.5	68.4	79	89.3	119.4	86.3	67.6
"Contig11396_at"	82.1	59.6	67.2	48.9	55.6	43.3	79.9	145.7	52.8	60.8	88.7	96.3	65.5	64.2	63	50.2	37	88.5	71.1	71.8	93.7	104.1	68.5	65.5	56.6	69.2	39.8	83.4	85.7	80.4	61.4	51.6	38.1	71.9	53.9	88.3	77.8	40.3	64.6	56.5	86.2	36.1	31.2	66.4	136.9	55.1	31.6	79.1	79.2	85.9	62.5	35.4	78.9	31.3	59.9	37.8	92.8	89.1	68.1	40.8	76.2	102	27.1	60.8	79.4	38.8	41.6	84.4	48.6	58.6	54.8	52.1	136.1	55.6	37.6	66	45.6	57.1	57.8	54.3	100	35.5	61.2	51.1	34.3	71.9	55.4	50.8	59.8	61.8	78.2	88.2	22.8	74.5	80.1	48.9	96.1	62.2	47.5	57.5	83.2	103.5	70.7	51.4	44.6	132.6	47.5	50.4	75.7	45	74.9	33.7	38.7	98.5	86.5	52	53.1	74.9	66.5	51.4	60.9	45.3	50.2	34.3	53.9	39.3	51.4	70.8	171.9	106.8	60.2	91.2	35.3	45.5	75.1	124	61	50.6
"Contig11397_s_at"	510.8	495.6	347.9	365.5	287.5	287.8	524.9	875.7	323.5	366.4	546.9	783.2	432.7	434	350.6	242.2	232.4	584.3	434	493.1	437.6	573.2	485.7	531.7	301.2	479	260	582.3	498.5	580.3	346.1	269	316.4	331.6	304.8	745.5	471.3	219	408.2	311.6	510.2	252.4	427.7	454.9	900.1	216.6	271.7	561.1	666	502.9	394.2	295	436.4	296.6	396.2	255	540.7	479.7	337.3	289.7	471.5	418.1	186.5	466.5	476.6	255.2	386.5	640.2	298.6	290.5	438	445.2	788.5	314.9	288.4	347.3	303.7	685.4	534.6	329.3	657.5	290.2	309.7	523.6	311	430.2	292.7	285	436.3	413.8	483	670.5	250.2	416	607.3	314.6	517.3	443	271.9	265.1	542.3	577.2	441.3	353.3	249.6	1092.6	438.1	318.4	371	363.7	295.3	237.7	382.9	593.7	452.9	472.3	258.4	513	469.3	276	473.3	318.8	656.8	247.2	320.5	346	289.6	426.3	882	744.9	281.2	601.3	281.4	386.9	577.3	828.3	355.4	282.2
"Contig11996_at"	54	47.5	40.4	35.7	10.1	3.4	62.8	84	39.7	28.5	52.6	108.1	33.7	54.4	31.7	56.2	28.1	63.4	41.1	46.4	81.3	46	36	45.9	40	30.9	25.2	66.7	54.1	46.9	39.4	69.7	19.9	50.7	28.1	76.6	17.8	47.6	46.1	43.9	67.8	23	11.7	36	69.2	9.6	4.6	45	63.2	83.8	53.9	49.8	53.4	47	23.2	19.6	41.8	80.2	17.5	29.5	36.1	26.2	2.6	60.1	38.9	20.3	42.1	90	27.9	37.1	5.6	51.4	65.2	21.7	29.1	40	29.5	54.5	55.9	46.7	42.1	16.9	29.6	60.3	20.4	55.1	54.3	37.4	40.4	54.8	33.5	85.6	23.7	58.1	60	9.2	44.2	39.9	9.6	26	35.6	40.3	16.5	17.5	26.6	90.9	57.4	18.4	33.1	30.5	16.1	21.7	24.5	59.9	43.3	41.7	23.2	8	24.5	24.5	58.9	46.2	28.8	28.6	13.6	91.4	31	21.1	39.8	48.5	38.9	48.3	21.9	38.1	29.6	55.5	57.8	30.4
"Contig12058_at"	528.8	464.1	423.7	464.5	341.8	368.9	511.8	659.1	369.8	359.6	647.6	497.9	577.4	428.2	347.3	255.4	259.7	683.8	395.7	516.1	405.8	485.6	436.7	324.4	574.7	375.2	288.6	706.8	470.9	371.3	390.6	531.7	261.4	475.5	288.1	397.4	404	301.4	486.5	286.8	380.3	278.3	397.7	519.9	603.6	245.9	378.2	553.8	655.4	471	430.9	261.5	406.1	421.9	340.3	211.2	469.4	604.2	380	335.8	340.2	280.5	211	433.1	467.4	305.8	379.3	723.2	317.1	325	302.1	458.5	448.6	268.6	371.2	420.6	453.9	502.3	396.3	336.9	459.4	329.2	349.9	462.5	282.4	437	298.3	397.8	462.3	359.6	303.9	504.7	182.6	429.4	468.5	302.1	383.8	359	478.1	276.9	554.5	391	247	347.6	288.6	693.2	521.9	261.1	441.8	554.1	323	252.6	447.7	529.9	595.8	281	274.9	298.9	470.9	243.1	547	350.7	429.7	191.8	300.3	580.3	278.2	451.7	603.1	541	376.8	428.1	414.2	464.6	421.4	651.1	399.4	398.2
"Contig12634_at"	2695.3	4417.8	3673.9	3689.6	2956.9	3152.6	5638.3	6482.7	2689.9	3291.5	5626.9	7639.1	3233.7	4253.4	2273.5	3730.8	1855.1	5538	3375.9	6041.9	3171.5	5655	5386.8	4856.4	5204.7	4851.1	3115.9	4906.7	4852.5	4108	3978.8	2757.9	2365.8	3095.7	2620.6	3498.3	3568.1	3118.9	4090.4	3959.8	4797.5	2405.7	3159.8	3222.2	6318.6	2997.6	3182.1	5344.8	5322.2	5749	5790.6	2089.9	5088.7	2481.8	4602.2	1698.6	3185.5	4911.4	2360.8	2654.3	2515.2	2612.6	1790.5	3889.2	3855.9	2333	3188.2	6123.7	3897	5045.6	2898.9	3659.9	5379.4	2998	2354.8	4802	2851.4	5461.1	4652.2	4078.1	5057	2821.3	3419.7	4814.2	2060.4	3264.1	3785.7	3770.1	4637.8	5195.1	4707.8	7153.7	1839.6	5280.2	6003.8	2042.8	5418.1	3102.7	2059.7	2306.6	5651.6	4049.5	2487.8	2857.7	1991.3	7135.9	4057.1	3528.9	4693.6	4849.7	3292.1	2709.5	2957.8	4620	4138.1	2936.4	2557.1	2685.9	4244.6	2979.7	4991.7	2981	1597.7	2073.4	2431.5	4363.7	6100.1	3928.2	4700.7	6386.3	2927.2	4767.5	5151.1	2998.2	2901.4	7159.3	3627.5	2402.6
"Contig13653_at"	551.5	584.2	600.1	621.4	312.1	666.1	941.7	1316.3	466.5	709.5	906.3	1179.8	624.7	822	435.2	573	642	1213.2	691.7	990.7	354.8	1041.8	665.6	753.5	631.5	662.3	436.2	823.9	1105.2	843.6	578.2	512.8	343.7	551.7	341.5	943.5	737.4	656.7	373.1	798	849.2	311.4	461.3	1099.5	1062.6	728.7	465.6	959.3	934.3	1119.8	813.2	330.8	844.5	660.3	734.6	381.5	346.9	771.3	352.1	403.8	423	340.6	360.2	632	1057.5	275.5	490.6	1138.6	807.7	935.2	330.4	1221.9	609.7	305.8	296.9	576.8	537.8	800.8	984.7	328.8	969.8	410.9	321	979.1	320	507.3	675.9	550.4	831.9	742.9	782	1009	466	945.5	1087.2	465.1	870	887.2	482.2	262.9	911.7	648.1	340.2	492.4	210.3	1144.4	712.8	731.5	687.8	838.1	374	512.3	340.8	845.4	720.5	329.6	492.8	207.1	711	339.2	672.4	381.2	698.8	405.6	460.3	908.2	884.1	395.7	532.8	891.6	566.9	865.1	818.5	579.8	633.4	928.4	369.2	431.8
"Contig13914_at"	571	735.3	588.1	604.9	394.6	468.7	625.1	859.5	549.3	462.3	692.2	802.6	446.3	617.2	480.9	452.5	393	966.5	603	644.8	660.1	480.6	602.3	500.3	568.2	416.6	478.8	677.2	740.1	625	437.5	487.8	484.6	553.8	337.2	685.3	610.7	338.4	583	571.7	618.7	390.7	520.9	581.6	719.1	503.3	647.6	739.5	813.3	776	513.2	336.4	662.6	525	460.9	287	476	619.4	418.6	449	464.1	465.6	304.7	560.4	624.7	394.7	569.2	824.9	462.4	410.9	648.2	686.8	678.4	319.3	392.1	452.9	476.9	761.6	681.5	433.1	618.8	458	341	599.5	481.2	538.3	432	612.2	607.8	616.3	419.7	735	277.4	600.7	720.5	396.6	606.7	540.8	441.2	544.3	654.1	490.7	372	507.4	312.3	876.8	603.1	387.1	501.5	517.9	269.2	432.5	459.4	651.9	494.3	493.7	381.4	419.9	465.4	375.1	538.2	488.3	675.1	363.1	429.7	483.1	397.2	507.1	462.3	688.3	363	584.4	413.1	449.6	529.6	857.8	475.2	460.5
"Contig14185_at"	311.8	611.4	415.3	437.3	268.9	350.1	612.5	1261.9	590.8	279	911.6	768.7	463.5	635.2	504.1	522.7	286	921	344.8	690.6	342.8	687.7	679.6	663	665.2	595.3	380.3	769.1	811	715.6	445	373.5	289.2	283.9	256.5	434.5	410.8	416.1	674.3	750	680.4	370.6	430.2	516	924.5	376.5	551	1077.7	935.4	1012	685.8	196.4	901.2	352	548.5	214.7	371.6	695.8	269.9	298.4	352.9	320	163	419.8	494.4	288.4	509.7	1023.5	779.1	772.5	434.7	449.6	947.1	377.6	374	532.8	303.9	1115	779.3	634.3	554.8	327.8	450.9	804.6	289.9	448.2	484.1	440.3	754.6	715.5	514.3	941.7	251	726.4	963.2	242.8	604.8	471.6	486.6	227	899	603.2	323.4	341.8	411.7	1327.3	804.9	309.7	703.9	768.4	190.9	287	322.5	689.9	670.1	428.9	314.4	382.2	597.6	285.9	324.2	500.9	337.8	220.4	276.4	672.2	567.5	380.5	465.8	740.9	359.9	593.7	571.4	351.3	494.5	1009.8	344.5	252.5
"Contig15712_at"	105.4	90.3	86.7	71.1	62.7	82.4	76.6	125	64.4	86.3	99.2	130	58.6	105.1	62.5	69.7	38.6	122.6	55.3	92.3	107.7	110.2	95.5	75.5	60.4	57.7	61.3	87.4	97.7	88.2	65.9	52	70.7	108.5	67.7	119.2	103.7	86	78	80.5	102	38.2	62.9	68	102	42.9	58.6	122.3	123.6	125.7	86	66.8	99.6	58.5	74.7	48.2	79.2	98.7	69.1	26.4	68.1	56.8	48.1	83.6	55.9	72.1	54.2	126.5	74.5	69.2	96.7	98.5	102.7	46.9	56.2	71.9	69.4	110.8	99.5	95.6	86.4	64.9	48.7	105.3	51.8	87.8	64.5	88.7	66.3	71	87	106.2	45.5	111.2	120.1	59.4	66	74	50.9	42.4	91	70.1	44.3	72.8	34	112.2	77.6	50.2	66.7	44.3	54.3	57.5	55.6	94.9	40.6	72.6	50.8	58	58.7	60.1	80.8	58.8	58.7	54.6	69	52.3	64.4	45	86.1	94.1	85.4	69.4	58.9	94	107.6	89	48.3	90.3
