Probe	ProbeChromosome	ProbecM	Probebp
AB011266_at	unknown	unknown	unknown
AF016328_at	5	14.5138888889	8618000
AF032680_at	6	126.487252125	538665920
AF032681_at	unknown	unknown	unknown
AF032682_at	1	71.1756373938	384739760
AF032683_at	2	107.152974504	577832560
AF032685_at	unknown	unknown	unknown
AF032686_at	5	133.69212963	506583400
AF032687_at	7	1.4872521246	5010840
AF039024_at	unknown	unknown	unknown
AF052395_at	5	83.4722222222	449473960
AF085165_at	unknown	unknown	unknown
AF085166_x_at	unknown	unknown	unknown
AF091115_at	6	15.7223796034	13264280
AF100770_at	3	3.1161473088	5224120
AF108010_at	unknown	unknown	unknown
AF108015_at	unknown	unknown	unknown
AF109193_at	unknown	unknown	unknown
AF129480_at	4	91.7138810198	510469560
AF134153_at	unknown	unknown	unknown
AF146271_at	3	25.3009915014	20059480
AF146273_at	7	38.8101983003	48436880
AF146274_at	3	36.8041576947	24998400
AF414174_at	unknown	unknown	unknown
AF414175_at	3	74.7875354108	464905760
AF414176_at	7	0.9206798867	3448440
AF414177_at	5	165.972222222	550886120
AF414179_at	1	112.252124646	444257280
AF427791_CDS-10_at	1	11.7563739377	7133720
AF427791_CDS-14_at	5	4.1666666667	3853920
AF427791_CDS-25_at	1	40.9076051428	38804560
AF474072_CDS-1_at	2	120.679886686	594341920
AF474373_CDS-1_at	unknown	unknown	unknown
AF509747.1_at	7	0.9206798867	3448440
AJ250283_at	unknown	unknown	unknown
AJ303111_at	unknown	unknown	unknown
AJ303355_at	3	51.6288951841	342608280
AJ421947.1_s_at	unknown	unknown	unknown
AY013246_CDS-5_at	unknown	unknown	unknown
ChlorContig14_at	unknown	unknown	unknown
ChlorContig3_at	5	15.5555555556	10159320
Contig10000_at	unknown	unknown	unknown
Contig10001_at	1	61.1543909348	355121120
Contig10004_at	unknown	unknown	unknown
Contig10007_at	unknown	unknown	unknown
Contig10008_at	unknown	unknown	unknown
Contig10009_at	4	55.7719546742	412163600
Contig10010_at	1	56.8873937677	322135880
Contig10011_at	unknown	unknown	unknown
Contig10015_at	1	80.2407932011	401964600
Contig10018_at	unknown	unknown	unknown
Contig10020_at	unknown	unknown	unknown
Contig10025_s_at	unknown	unknown	unknown
Contig10027_at	unknown	unknown	unknown
Contig10029_at	unknown	unknown	unknown
Contig10030_at	unknown	unknown	unknown
Contig10031_at	unknown	unknown	unknown
Contig10032_at	unknown	unknown	unknown
Contig10034_at	unknown	unknown	unknown
Contig10036_at	unknown	unknown	unknown
Contig10037_at	6	53.611898017	170155280
Contig10038_at	unknown	unknown	unknown
Contig10039_at	unknown	unknown	unknown
Contig10040_at	7	76.0188857413	465562960
Contig10041_at	unknown	unknown	unknown
Contig10043_at	5	163.819444444	546470480
Contig10044_at	unknown	unknown	unknown
Contig10050_s_at	unknown	unknown	unknown
Contig10052_at	5	43.9583333333	73462560
Contig10055_at	unknown	unknown	unknown
Contig10057_at	3	127.974504249	530748520
Contig10061_s_at	unknown	unknown	unknown
Contig10063_at	unknown	unknown	unknown
Contig10064_at	unknown	unknown	unknown
Contig10065_at	unknown	unknown	unknown
Contig10068_at	unknown	unknown	unknown
Contig10070_at	unknown	unknown	unknown
Contig10072_at	unknown	unknown	unknown
Contig10074_at	unknown	unknown	unknown
Contig10076_at	unknown	unknown	unknown
Contig10078_at	unknown	unknown	unknown
Contig10079_at	unknown	unknown	unknown
Contig10081_at	2	81.7988668555	530119840
Contig10082_at	unknown	unknown	unknown
Contig10084_at	3	61.8980169972	428699000
Contig10085_at	7	108.073654391	561065280
Contig10086_at	3	74.7145124537	461934720
Contig10092_s_at	unknown	unknown	unknown
Contig10093_s_at	unknown	unknown	unknown
Contig10095_at	unknown	unknown	unknown
Contig10099_at	unknown	unknown	unknown
Contig10100_at	6	119.121813031	534365600
Contig10101_at	7	74.2917847025	452488400
Contig10104_at	1	112.252124646	444257280
Contig10105_at	2	54.2492917847	139679800
Contig10107_at	5	40.0694444444	33711880
Contig10110_at	unknown	unknown	unknown
Contig10112_at	4	78.6827195467	495274600
Contig10113_at	unknown	unknown	unknown
Contig10114_at	5	122.430555556	495650320
Contig10115_at	unknown	unknown	unknown
Contig10116_at	2	54.8394711992	151110120
Contig10118_at	unknown	unknown	unknown
Contig10122_at	7	45.3611898017	55254400
Contig10127_at	7	70.9631728045	380751920
Contig10128_at	unknown	unknown	unknown
Contig10129_at	4	57.2946175637	429465320
Contig10130_at	unknown	unknown	unknown
Contig10131_at	unknown	unknown	unknown
Contig10134_s_at	6	87.2228901772	504351400
Contig10135_at	2	67.492917847	488447160
Contig10137_at	7	125.283286119	579753320
Contig10142_at	unknown	unknown	unknown
Contig10144_s_at	2	128.257790368	601714960
Contig10146_at	unknown	unknown	unknown
Contig10148_at	unknown	unknown	unknown
Contig10152_at	4	68.9801699717	483984400
Contig10154_at	3	135.481586402	537540000
Contig10156_s_at	unknown	unknown	unknown
Contig10158_at	4	97.6628895184	516219440
Contig10159_at	unknown	unknown	unknown
Contig10160_at	unknown	unknown	unknown
Contig10161_at	3	51.1331444759	172213680
Contig10162_s_at	3	142.634560907	546453120
Contig10164_at	unknown	unknown	unknown
Contig10165_at	unknown	unknown	unknown
Contig10166_at	unknown	unknown	unknown
Contig10168_at	1	101.062322946	434515840
Contig10170_at	unknown	unknown	unknown
Contig10171_at	2	107.152974504	574526720
Contig10174_at	unknown	unknown	unknown
Contig10182_at	unknown	unknown	unknown
Contig10183_at	2	56.126062323	293493120
Contig10185_at	3	59.6317280453	420906840
Contig10186_at	unknown	unknown	unknown
Contig10187_at	7	70.6798866856	315345640
Contig10188_at	6	126.628895184	538665920
Contig10190_at	7	41.4305949008	52530120
Contig10191_s_at	2	81.7988668555	530119840
Contig10196_at	1	132.365439093	462937880
Contig10197_at	7	118.484419264	570223920
Contig10199_at	unknown	unknown	unknown
Contig1019_at	4	51.2039660057	194279480
Contig101_at	unknown	unknown	unknown
Contig10200_at	unknown	unknown	unknown
Contig10203_at	unknown	unknown	unknown
Contig10209_at	5	44.0972222222	86915320
Contig10215_at	unknown	unknown	unknown
Contig10216_at	unknown	unknown	unknown
Contig10220_s_at	unknown	unknown	unknown
Contig10222_at	2	144.121813031	618344600
Contig10225_s_at	2	26.2039660057	29089160
Contig10231_at	3	74.7424671646	462702280
Contig10232_at	unknown	unknown	unknown
Contig10235_at	unknown	unknown	unknown
Contig10237_at	unknown	unknown	unknown
Contig1023_at	3	59.9150141643	423494720
Contig10241_at	7	30.559490085	40159880
Contig10245_at	5	122.5	496726640
Contig10246_s_at	unknown	unknown	unknown
Contig10248_at	2	40.0849858357	45779560
Contig10249_at	1	61.5084985836	361019800
Contig10250_s_at	unknown	unknown	unknown
Contig10253_at	2	56.3739376771	295325840
Contig10254_s_at	4	54.3201133144	398377280
Contig10256_at	unknown	unknown	unknown
Contig10257_at	unknown	unknown	unknown
Contig10257_s_at	1	128.045325779	457225200
Contig10258_at	6	79.6033994334	497194120
Contig10262_at	5	111.122685185	482636520
Contig10263_at	5	111.122685185	482636520
Contig10264_at	3	51.38101983	201039960
Contig10265_at	6	75.4957507082	490541520
Contig10267_at	3	46.1756373938	50335320
Contig10268_at	unknown	unknown	unknown
Contig10269_at	6	100.424929178	516809680
Contig10270_at	unknown	unknown	unknown
Contig10272_at	unknown	unknown	unknown
Contig10274_at	4	2.26628895185	5066640
Contig10276_at	2	107.152974504	578796040
Contig10278_at	unknown	unknown	unknown
Contig10279_at	5	129.444444444	504780440
Contig10280_at	2	54.2315864023	124957280
Contig10281_at	4	51.2039660057	172534840
Contig10282_at	unknown	unknown	unknown
Contig10284_at	unknown	unknown	unknown
Contig10285_at	unknown	unknown	unknown
Contig10287_at	unknown	unknown	unknown
Contig10289_at	7	24.5042492918	32920760
Contig10291_at	unknown	unknown	unknown
Contig10292_at	unknown	unknown	unknown
Contig10293_at	2	44.4050991501	53776320
Contig10294_at	unknown	unknown	unknown
Contig10297_at	unknown	unknown	unknown
Contig10299_at	unknown	unknown	unknown
Contig10300_at	2	55.559490085	219631280
Contig10301_at	unknown	unknown	unknown
Contig10303_at	unknown	unknown	unknown
Contig10304_at	3	62.9603399433	435824040
Contig10306_s_at	unknown	unknown	unknown
Contig10310_at	4	57.2946175637	429465320
Contig10313_at	unknown	unknown	unknown
Contig10314_at	unknown	unknown	unknown
Contig10315_at	7	76.5580736544	476823400
Contig10319_at	5	44.5138888889	285128080
Contig1031_at	1	106.161473088	439756080
Contig10324_at	4	54.3201133144	378806360
Contig10325_s_at	6	62.7478753541	427938880
Contig10327_at	unknown	unknown	unknown
Contig10328_at	7	41.4305949008	52530120
Contig10331_at	unknown	unknown	unknown
Contig10332_at	unknown	unknown	unknown
Contig10333_at	unknown	unknown	unknown
Contig10334_at	6	73.7960339943	484391120
Contig10340_at	unknown	unknown	unknown
Contig10341_at	unknown	unknown	unknown
Contig10342_at	unknown	unknown	unknown
Contig10344_at	5	44.2361111111	114340400
Contig10345_at	unknown	unknown	unknown
Contig10346_at	unknown	unknown	unknown
Contig10348_at	unknown	unknown	unknown
Contig10349_at	2	45.9631728045	58654480
Contig10351_at	2	56.7786321328	372373240
