"SNP"	"SNPchr"	"SNPpos"	"SNPabsPos"
"Septoria"	1	0	0
"Hor5"	1	19.3	19.3
"Hor2"	1	20.1	20.1
"6949-895"	1	24.1	24.1
"Hor1"	1	31.6	31.6
"2496-1916"	1	38.4	38.4
"4226-570"	1	43.1	43.1
"5194-1118"	1	50.5	50.5
"6081-850"	1	51.2	51.2
"3751-1136"	1	55.9	55.9
"5346-1587"	1	57.3	57.3
"6238-243"	1	57.9	57.9
"ConsensusGBS0455-1"	1	62.6	62.6
"End1"	1	66.7	66.7
"Caf1"	1	71.5	71.5
"2510-1464"	1	75	75
"ABC12550-1-3-276"	1	78.4	78.4
"ConsensusGBS0342-1"	1	79	79
"ConsensusGBS0371-2"	1	80.4	80.4
"ABC07427-1-1-329"	1	81	81
"2401-1028"	1	82.4	82.4
"8486-1964"	1	84.4	84.4
"5790-558"	1	85.1	85.1
"ABC01838-2-2-322"	1	85.7	85.7
"Glb1"	1	87.1	87.1
"2877-867"	1	91.1	91.1
"9638-619"	1	91.8	91.8
"3675-2615"	1	92.4	92.4
"8214-982"	1	94.5	94.5
"6142-1544"	1	100.5	100.5
"ABC10931-1-2-397"	1	102.5	102.5
"4005-530"	1	104.5	104.5
"3204-811"	1	109.3	109.3
"ABC06571-1-2-356"	1	111.3	111.3
"3404-2470"	1	111.9	111.9
"ABC08077-pHv131-02"	1	116	116
"3786-2204"	1	133.4	133.4
"iPgd2"	1	134.8	134.8
"5690-1045"	1	138.1	138.1
"7389-555"	1	142.2	142.2
"6547-1363"	1	146.9	146.9
"7527-1618"	1	150.2	150.2
"6026-1949"	1	150.9	150.9
"4027-1814"	1	151.6	151.6
"ConsensusGBS0103-1"	1	152.2	152.2
"199-393"	1	152.9	152.9
"4393-1078"	1	153.6	153.6
"1298-1450"	1	154.9	154.9
"ConsensusGBS0450-1"	1	161	161
"5222-919"	1	161.7	161.7
"4592-118"	1	163.7	163.7
"Chs"	2	0	164.9
"3453-1974"	2	2.1	167
"ABC05684-pHv2534-05"	2	3.4	168.3
"9573-264"	2	9.5	174.4
"12100-378"	2	11.5	176.4
"RbcS"	2	12.8	177.7
"PpdH1"	2	24.4	189.3
"ABG358"	2	26.5	191.4
"5880-2547"	2	27.1	192
"8787-1459"	2	28.5	193.4
"864-594"	2	30.5	195.4
"ABC05236-1-10-217"	2	31.2	196.1
"ConsensusGBS0155-4"	2	32.5	197.4
"6471-1139"	2	33.2	198.1
"3709-716"	2	36.5	201.4
"ABC03253-1-2-279"	2	37.2	202.1
"6338-682"	2	37.9	202.8
"6846-1161"	2	38.5	203.4
"8512-430"	2	39.9	204.8
"ABC02350-pHv759-04"	2	47.3	212.2
"ABC01899-1-1-301"	2	49.3	214.2
"4331-1475"	2	50.7	215.6
"ABC11129-1-1-152"	2	51.3	216.2
"5184-1163"	2	52	216.9
"ABC06091-1-1-187"	2	52.7	217.6
"HvClsF8"	2	53.3	218.2
"3467-549"	2	54	218.9
"histidine_kinas"	2	54.7	219.6
"ConsensusGBS0519-1"	2	55.3	220.2
"ABC05800-1-1-142"	2	56	220.9
"3806-486"	2	58	222.9
"6804-1197"	2	58.7	223.6
"7729-565"	2	61.4	226.3
"7660-476"	2	62.1	227
"7187-382"	2	62.7	227.6
"ABC22343-1-1-120"	2	64.1	229
"6852-506"	2	64.7	229.6
"ConsensusGBS0143-1"	2	66.1	231
"ConsensusGBS0033-1"	2	66.7	231.6
"316-1429"	2	68.1	233
"3469-1152"	2	76.2	241.1
"7804-582"	2	76.9	241.8
"ABC02258-1-6-382"	2	78.2	243.1
"2020-539"	2	80.9	245.8
"5837-427"	2	82.2	247.1
"6951-875"	2	82.9	247.8
"ABC05640-1-1-248"	2	101.1	266
"9148-259"	2	101.8	266.7
"3180-1771"	2	103.8	268.7
"7302-240"	2	109.9	274.8
"8293-202"	2	111.2	276.1
"ConsensusGBS0379-1"	2	116.6	281.5
"1486-908"	2	117.3	282.2
"Gln2"	2	117.9	282.8
"4241-445"	2	124	288.9
"ABC10785-1-1-82"	2	128.1	293
"3910-1648"	2	128.8	293.7
"252-556"	2	130.1	295
"7655-579"	2	132.8	297.7
"1868-1311"	2	134.1	299
"8586-1221"	2	135.5	300.4
"9668-422"	2	137.5	302.4
"9910-427"	2	139.5	305
"4715-810"	3	0	305.6
"13924-403"	3	0.7	306.3
"1835-432"	3	1.3	306.9
"918-928"	3	4	309.6
"5945-748"	3	4.7	310.3
"1499-290"	3	6.7	312.3
"3646-1984"	3	8	313.6
"3950-1500"	3	8.7	314.3
"1354-351"	3	15.5	321.1
"3886-313"	3	18.8	324.4
"ABC52215-pHv1348-01"	3	29	334.6
"2316-735"	3	35.1	340.7
"8387-187"	3	37.1	342.7
"ConsensusGBS0598-3"	3	42.5	348.1
"4256-833"	3	48.6	354.2
"Dfr"	3	51.2	356.8
"ABC21245-1-2-275"	3	51.9	357.5
"9481-859"	3	52.6	358.2
"5038-1035"	3	53.9	359.5
"ABC08184-2-1-35"	3	55.3	360.9
"ABC18717-1-3-215"	3	58	363.6
"5385-722"	3	59.3	364.9
"2372-703"	3	62	367.6
"ABC13107-1-3-299"	3	62.6	368.2
"ABC10084-1-2-363"	3	63.3	368.9
"4149-219"	3	64.7	370.3
"2677-501"	3	65.3	370.9
"3306-446"	3	66	371.6
"2315-702"	3	66.7	372.3
"ConsensusGBS0222-2"	3	67.3	372.9
"6883-203"	3	70.7	376.3
"11116-257"	3	77.4	383
"ABC15290-1-3-262"	3	78.8	384.4
"Aamyb"	3	80.3	385.9
"1622-214"	3	81	386.6
"4019-302"	3	82.3	387.9
"963-386"	3	83	388.6
"9683-140"	3	89.7	395.3
"8984-579"	3	90.4	396
"ABC11028-1-1-64"	3	93.1	398.7
"10114-1946"	3	97.1	402.7
"7241-553"	3	99.1	404.7
"ConsensusGBS0510-2"	3	105.9	411.5
"4025-300"	3	106.5	412.1
"ABC13753-1-2-167"	3	108.5	414.1
"76-1059"	3	109.2	414.8
"5260-462"	3	109.9	415.5
"3965-353"	3	111.2	416.8
"2335-1614"	3	118	423.6
"ABC06381-1-5-73"	3	118.6	424.2
"mPub"	3	122.7	428.3
"3340-1042"	3	124.7	430.3
"ABC05919-1-2-157"	3	126.1	431.7
"ABC13678-1-2-369"	3	126.7	432.3
"5334-1533"	3	128.1	433.7
"ABC01665-pHv1099"	3	128.8	434.4
"4270-184"	3	131.4	437
"9040-492"	3	132.8	438.4
"7818-967"	3	136.8	442.4
"Lsmut"	3	138.8	444.4
"Glb4"	3	140.9	446.5
"8919-758"	3	141.6	447.2
"ConsensusGBS0574-5"	3	142.9	448.5
"iBgl"	3	143.6	449.2
"4403-885"	3	144.3	449.9
"ConsensusGBS0271-2"	3	146.9	452.5
"ABC36454-pHv2499-01"	3	150.3	455.9
"4737-368"	3	151	457.2
"ConsensusGBS0632-3"	3	151.6	457.8
"13301-90"	4	0	458.4
"7385-763"	4	2.7	461.1
"ABC14522-1-8-350"	4	4.7	463.1
"ABC12449-1-3-227"	4	12.1	470.5
"5149-1645"	4	14.8	473.2
"8724-1282"	4	15.5	473.9
"2055-947"	4	19.5	477.9
"Ole1"	4	23.6	482
"ABC06172-1-2-104"	4	24.3	482.7
"9027-454"	4	25.6	484
"3897-578"	4	28.3	486.7
"12128-313"	4	31	489.4
"4616-503"	4	31.6	490
"8901-1446"	4	32.3	490.7
"6603-1702"	4	41.8	500.2
"ABC17649-1-5-464"	4	43.8	502.2
"Dhn6"	4	45.9	504.3
"2800-1016"	4	46.5	504.9
"ABC07631-1-1-83"	4	47.2	505.6
"ARG1"	4	48.6	507
"6249-572"	4	50	508.4
"5013-1834"	4	50.6	509
"ABC02614-1-2-387"	4	52	510.4
"ABC10254-1-2-250"	4	52.6	511
"Tef2"	4	53.3	511.7
"Caf2"	4	54.2	512.6
"9208-919"	4	54.9	513.3
"Hsp25"	4	56.2	514.6
"10321-364"	4	58.9	517.3
"3549-743"	4	61.6	520
"ConsensusGBS0589-1"	4	63	521.4
"3416-692"	4	67	525.4
"4807-1328"	4	69	527.4
"9149-1316"	4	71	529.4
"3704-1947"	4	73	531.4
"ConsensusGBS0461-3"	4	74.4	532.8
"4988-858"	4	75.7	534.1
"4555-499"	4	77.7	536.1
"ABC09154-1-1-250"	4	79.7	538.1
"4564-604"	4	81.8	540.2
"4039-1686"	4	83.8	542.2
"2574-410"	4	87.1	545.5
"4361-1867"	4	87.8	546.2
"iHxk2"	4	91.2	549.6
"7550-562"	4	91.8	550.2
"ABC07893-1-1-175"	4	95.2	553.6
"3282-555"	4	95.9	554.3
"2614-1522"	4	97.2	555.6
"5692-310"	4	101.2	559.6
"ABC12417-1-1-46"	4	109.4	586
"2878-574"	4	127.6	586.7
"954-1377"	4	128.3	587.3
"5206-787"	5	0	587.9
"1582-63"	5	0.7	588.6
"7153-338"	5	1.3	589.2
"ABC17471-1-3-78"	5	2	589.9
"3356-243"	5	4.7	592.6
"10207-1024"	5	5.4	593.3
"8785-443"	5	8.7	596.6
"4753-1091"	5	14.1	602
"9608-371"	5	16.1	604
"ABC01741-1-4-299"	5	22.2	610.1
"3726-1989"	5	26.2	614.1
"3611-635"	5	27.6	615.5
